什么被描述为说服中人性最根本、不变的方面？,趋利避害的倾向。
驱动人类所有行为的两个主要动力是什么？,追求快乐和逃避痛苦。
要成功说服某人，你必须迎合他们本性的哪个核心方面？,他们的自身利益（利己心）。
与其直接索取，说服中推荐的第一步是什么？,先给予有价值的东西。
在说服中，哪个对影响决策更具威力：情感还是逻辑？,情感远比逻辑更具威力。
为了让某人更愿意接受你的想法，应该满足哪种基本的人类需求？,感到重要、被尊重和被理解的需求。
为你的行为使用一个听起来高尚的借口（师出有名）的战略目的是什么？,掩盖你真实的自身利益，并使你的请求看起来合情合理。
在说服中可以利用的哪三个人类普遍弱点？,贪婪、好色和恐惧。
在说服中，‘贪婪’是如何被定义为一种普遍的人性弱点的？,获得更多利益和优势的欲望。
在更广泛的说服语境中，‘好色’是如何被定性的？,对美好的事物、人和体验的吸引和渴望。
在说服中如何利用‘恐惧’作为工具？,通过强调潜在的损失、痛苦或负面后果来激发行动。
说服的第一铁律是什么？,人是情感动物；他们基于情感做决定，并用逻辑来合理化这些决定。
根据说服的第一铁律，逻辑在由情感驱动的决策过程中扮演什么角色？,逻辑是在情感决定做出之后，用来作为借口或辩护的理由。
哪种沟通工具在引起人们情感共鸣方面特别有效？,讲故事。
说服的第二铁律是什么？,没有紧迫感，就没有成交。
为什么制造紧迫感对达成交易至关重要？,它克服了人类拖延的倾向。
制造紧迫感的常见三种方法是什么？,对时间、数量和身份（独家准入）施加限制。
根据说服的一个关键心理学原则，稀缺性如何影响感知价值？,人们天生渴望他们无法拥有或难以获得的东西。
一个关键的心理学原则指出，人们不珍惜_____的东西。,容易获得
说服的第三铁律是什么？,永远不要问顾客是否想买；相反，给他们两个选择。
根据第三铁律，提供‘被制造的选择’的目标是什么？,引导对方的决定指向你首选的结果之一。
在‘被制造的选择’的背景下，什么是‘诱饵’或‘锚点’选项？,一个与首选选项一起展示的较不具吸引力的选项，旨在通过对比使首选选项看起来更好。
当销售人员问：‘您喜欢红色的还是蓝色的？’时，他们应用的是哪条说服法则？,说服的第三铁律（被制造的选择）。
在‘3-OP 行为引导框架’中，涉及‘真话’的第一步是什么？,陈述你的真实意图和底线，但只对自己说，不对对方说。
在谈判前向自己明确定义‘真话’的目的是什么？,为了避免情绪化，迷失最终目标。
‘3-OP 框架’的第二步‘善意有成本’是什么？,让对方投入一定的成本来获取你的价值，表明你的善意不是免费的。
实施‘善意有成本’的心理效应是什么？,这会让对方更珍惜这个机会，因为他们已经投入了成本。
只有在支付可退还押金后才提供免费试用，这是‘3-OP 框架’中哪一步的例子？,善意有成本。
‘3-OP 框架’的第三步‘关于锚点’是什么？,为谈判建立一个参考点，通常通过提出一个较高的初始报价来实现。
在谈判中，你的第一次报价作为_____，随后的所有谈判都由此展开。,锚点
‘3-OP 框架’的第四步‘关于承诺’是什么？,引导对方做出承诺或采取一个小的积极行动，这样他们就会感到有义务坚持到底。
为什么让某人公开陈述他们的承诺很有力？,人们有强烈的愿望希望自己的言行与之前的陈述和行动保持一致。
在说服的语境中，‘人情’被描述为什么形式？,产生义务感的诱饵。
根据资料，在决定帮助某人之前，你应该问自己的第一个问题是什么？,这个人值得帮吗？
人际互动的核心被描述为不是纯粹的情感，而是_____的交换。,价值
根据‘铁律’，没有任何成本或价值交换的承诺被认为是_____。,毫无价值的
在谈判中，你不应立即亮出底牌或底线的主要原因是什么？,一旦你的底线为人所知，你就失去了所有的筹码和谈判空间。
当有人向你施压要求透露最终价格时，最好的回答方式是_____。,不直接回答，因为沉默可以增加你的筹码
‘情感是按钮，逻辑是借口’这句话总结了什么？,说服的第一铁律：决定是情感性的，理由是逻辑性的。
为什么你不应该问像‘你想买这个吗？’这样的是非题？,这给了对方一个容易拒绝的机会。
让自己看起来难以获得，就像奢侈品牌一样，这是应用了哪种说服原则？,稀缺性原则和通过限制准入创造价值。
说服力铁律与人性操纵题库,说服力铁律与人性操纵题库

