根据社会生存法则，哪种规则在现实中更有力量：明规则还是潜规则？,潜规则被认为是真正的运作逻辑，比明文规定的显规则更有力量。
学习一个组织或圈子潜规则最有效的方法是什么？,观察成功人士实际在做什么，而不是听他们说什么。
成功驾驭社交场合的核心原则是要深刻理解什么？,人性。
为了自我保护，应该对人性采取什么基本假设？,人本质上是自私的，应该为他们行为的最坏可能性做好准备。
在职场中，人们看重_____远胜于你的努力或辛勤工作。,结果
为什么偶尔提醒别人你给过他们的帮助很重要？,因为人往往是健忘的，提醒他们可以维持人情的价值。
所有有效社交互动的基础是什么？,价值交换。
要在人脉拓展中取得成功，最关键的是让自己对他人_____。,有用
什么被描述为建立良好关系的“最廉价且最有效的社交润滑剂”？,夸奖。
赞美别人时，应该关注什么让赞美更有效、更真诚？,具体的细节和行动，而不是空泛的恭维。
与其直接给出建议，引导他人思考的更具策略性的方式是什么？,把建议包装成问题，让他们自己得出结论。
在职场中，你应该始终优先考虑并与谁的利益保持一致？,直属上司或老板的利益。
什么时候向老板汇报好消息，什么时候汇报坏消息？,好消息要立即汇报，坏消息要在有了潜在解决方案后再汇报。
当领导问一个看似简单的问题时，回答前的第一步应该是什么？,理解问题背后的真实意图或潜在目的。
为什么通常建议不要把职场同事当成真正的朋友？,因为职场关系主要建立在利益竞争的基础上。
为了避免暴露真实意图，推荐什么沟通策略？,少说多听，永远不要亮出底牌。
为了培养团队精神和共同目标感，最好使用代词“_____”而不是“我”。,我们
为什么卷入争论往往是一种失败的策略，即使你是对的？,因为赢了争论可能意味着输了关系或树立了敌人。
在策略性社交语境下，应该如何看待送礼行为？,视为一种社会投资，而不仅仅是友好的姿态。
为了让礼物最有效，它应该能解决接受者的某个问题或满足特定的_____。,需求
保持强大和有韧性心态的一个关键方面是“_____”，意味着你不容易受他人意见或批评的影响。,脸皮厚
让一个人超越所有规则的终极“潜规则”是什么？,拥有足够的权力和实力来制定或打破规则。
什么被描述为一个人决策系统中的“最薄弱环节”，使其容易被操控？,情绪。
为什么对未来交换的承诺往往不可靠？,因为其价值是不确定的，而且人们天生更喜欢眼前可见的利益，而不是未来的可能性。
“现成的一个蛋胜过许诺的一只鸡”这句谚语说明了人性的哪条原则？,未来互惠的不可靠性以及对眼前利益的偏好。
给某人一个小小的、意想不到的恩惠可以制造什么心理状态？,亏欠感。
“3 OP 操纵指南”的第一步是什么？,说真话，但具体是指那些能建立信任但又不透露一切的“有用”真话。
为什么在试图说服某人时，承认一个无伤大雅的小缺点是具有策略性的？,这会让你的其他主张看起来更可信，并建立信任。
根据“3 OP 操纵指南”，赞美被认为是有“成本”的。这是什么意思？,这意味着赞美应该留给对你有价值的人，因为它是建立影响力的资源。
_____效应是一种认知偏差，即赞美一个人的某个特定积极特质会让别人对他整体评价积极。,光环 (Halo)
要从组织中获取资源或金钱，必须确定的“关键发现”是什么？,该体系中拥有最大权力者或决策者的核心需求。
当一个承诺或义务主要对你有利时，最好的行动方针是什么？,立即并热情地履行它。
如果你无法或不愿意履行承诺，比生硬拒绝更好的替代方案是什么？,拖延或找一个好的、合理的借口。
术语：人情ATM机,定义：一种将人际关系比作银行账户的隐喻，即在“取款”（求助）之前必须先“存款”（给予恩惠、赞美、帮助）。
可以向“人情ATM机”存入“存款”的例子有哪些？,送钱或礼物，提供具体的赞美，以及提供机会或资源。
向一个你没有存入“存款”的人寻求帮助的主要风险是什么？,请求几乎肯定会被拒绝。
社会生存潜规则,社会生存潜规则
